Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
Uncorked,2020,91,93.565,Prentice Penny,"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Comp¨¨re",A young man upsets his father when he pursues his dream of becoming a master sommelier instead of joining the...,,,,,,,FALSE
Stand by Me,1986,91,96.214,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell","After learning that a stranger has been accidentally killed near their rural homes, four Oregon boys decide to go see...",52287766,Drama,8.1,75,89,393352,TRUE
The Willoughbys,2020,91,93.854,Kris Pearn,"Will Forte, Maya Rudolph, Alessia Cara, Terry Crews","Neglected by their parents, four old-fashioned siblings venture out into the modern world with their new nanny....",,Comedy,6.3,68,90,18306,FALSE
I Am Mother,2019,91,93.894,Grant Sputore,"Hilary Swank, Clara Rugaard, Rose Byrne, Tahlia Sturzaker",A teenage girl is raised by a robot designed to repopulate Earth. Their bond is tested when a stranger arrives...,263452,Drama,6.7,64,113,88872,FALSE
Full Metal Jacket,1987,92,97.375,Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey","Stanley Kubrick's take on the Vietnam War follows smart-aleck Private Davis (Matthew Modine), quickly christened ""Joker"" by his foul-mouthed drill...",45015999,Drama,8.3,76,116,724229,TRUE
Happy as Lazzaro,2018,91,95.784,Alice Rohrwacher,"Adriano Tardiolo, Tommaso Ragno, Nicoletta Braschi, Alba Rohrwacher","Lazzaro, a good-hearted young peasant, and Tancredi, a young nobleman cursed by his imagination, form a life-altering bond when Tancredi...",,,,,,,FALSE
Taylor Swift: Miss Americana,2020,91,97.129,Lana Wilson,Taylor Swift,Pop singer Taylor Swift reveals intimate details of her life while showcasing backstage and onstage concert footage....,,,,,,,FALSE
El Camino: A Breaking Bad Movie,2019,91,98.535,Vince Gilligan,"Aaron Paul, Matt Jones, Charles Baker",Jesse Pinkman flees from the police and tries to escape his inner turmoil....,,Drama,7.3,72,122,224266,FALSE
High Flying Bird,2019,91,99,Steven Soderbergh,"Andre Holland, Zazie Beetz, Bill Duke, Sonja Sohn",A sports agent pitches a controversial business opportunity to a rookie basketball player during a lockout....,,,,,,,FALSE
The White Tiger,2021,91,100.114,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",Balram Halwai (Adarsh Gourav) narrates his epic and darkly humorous rise from poor villager to successful entrepreneur in modern India....,,Drama,7.1,76,125,58884,TRUE
There Will Be Blood,2007,91,101.444,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciar¨¢n Hinds","Silver miner Daniel Plainview (Daniel Day-Lewis) leads a hardscrabble life with his son, H.W. (Dillon Freasier). When he hears about...",77208711,Drama,8.2,93,158,569777,TRUE
The Disaster Artist,2017,91,117.27,James Franco,"James Franco, Dave Franco, Seth Rogen, Zac Efron",The incredible true story of aspiring filmmaker and Hollywood outsider Tommy Wiseau as he and his best friend defiantly pursue...,28717667,Comedy,7.3,76,104,150852,TRUE
Phantom Thread,2017,91,113.203,Paul Thomas Anderson,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford",Renowned dressmaker Reynolds Woodcock and his sister Cyril are at the center of British fashion in 1950s London -- dressing...,47812199,Drama,7.4,90,130,128812,TRUE
Mindhorn,2016,92,93.935,Sean Foley,"Julian Barratt, Essie Davis, Andrea Riseborough, Harriet Walter","A has-been actor, known for playing British detective Mindhorn, works alongside the police to catch a serial killer who will...",816452,Thriller,6.3,70,89,12617,FALSE
Into the Inferno,2016,92,93.935,Werner Herzog,"Werner Herzog, Clive Oppenheimer, Katia Krafft, Maurice Krafft","Werner Herzog and volcanologist Clive Oppenheimer travel the globe and visit volcanoes in Indonesia, Ethiopia and even North Korea in...",,,,,,,FALSE
Icarus,2017,92,95.015,Bryan Fogel,"Dan Cogan, Bryan Fogel, Richard Pound, Dave Zabriskie","When filmmaker Bryan Fogel sets out to uncover the truth about doping in sports, a chance meeting with a Russian...",,,,,,,TRUE
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,92,95.096,Chris Smith,"Jim Carrey, Danny DeVito, Milos Forman, Peter Bonerz","Using 100 hours of footage from the set of ""Man on the Moon,"" filmmaker Chris Smith documents Jim Carrey's transformation...",,,,,,,FALSE
Set It Up,2018,92,93.9,Claire Scanlon,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them...,,Comedy,6.5,62,105,50724,FALSE
